run_name,gallery_protocol,model_a,model_b,n_queries,both_correct,only_a_correct,only_b_correct,both_wrong,fraction_both_correct,fraction_only_a_correct,fraction_only_b_correct,fraction_both_wrong,fraction_disagree
eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,MiewID,DINOv2-Base,328,268,17,16,27,0.8170731707317073,0.051829268292682924,0.04878048780487805,0.08231707317073171,0.10060975609756098
eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,EfficientNet-B4,328,273,32,1,22,0.8323170731707317,0.0975609756097561,0.003048780487804878,0.06707317073170732,0.10060975609756098
eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,MiewID,EfficientNet-B4,328,264,21,10,33,0.8048780487804879,0.06402439024390244,0.03048780487804878,0.10060975609756098,0.09451219512195122
eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,MiewID,ConvNeXt-V2,328,272,13,16,27,0.8292682926829268,0.039634146341463415,0.04878048780487805,0.08231707317073171,0.08841463414634146
eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,MiewID,ConvNeXt-V2,328,272,13,16,27,0.8292682926829268,0.039634146341463415,0.04878048780487805,0.08231707317073171,0.08841463414634146
eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,MiewID,ConvNeXt-V2,328,272,13,16,27,0.8292682926829268,0.039634146341463415,0.04878048780487805,0.08231707317073171,0.08841463414634146
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,MiewID,ConvNeXt-V2,328,272,13,16,27,0.8292682926829268,0.039634146341463415,0.04878048780487805,0.08231707317073171,0.08841463414634146
eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,MiewID,ConvNeXt-V2,328,272,13,16,27,0.8292682926829268,0.039634146341463415,0.04878048780487805,0.08231707317073171,0.08841463414634146
eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,MiewID,MegaDescriptor-L,328,268,17,12,31,0.8170731707317073,0.051829268292682924,0.036585365853658534,0.09451219512195122,0.08841463414634146
eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,ConvNeXt-V2,MegaDescriptor-L,328,270,18,10,30,0.823170731707317,0.054878048780487805,0.03048780487804878,0.09146341463414634,0.08536585365853659
eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,MiewID,DINO-Small,328,271,14,14,29,0.8262195121951219,0.042682926829268296,0.042682926829268296,0.08841463414634146,0.08536585365853659
eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,EVA-02,ConvNeXt-V2,328,283,22,5,18,0.8628048780487805,0.06707317073170732,0.01524390243902439,0.054878048780487805,0.08231707317073171
eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,EVA-02,MegaDescriptor-L,328,279,26,1,22,0.850609756097561,0.07926829268292683,0.003048780487804878,0.06707317073170732,0.08231707317073171
eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,ConvNeXt-V2,328,283,22,5,18,0.8628048780487805,0.06707317073170732,0.01524390243902439,0.054878048780487805,0.08231707317073171
eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,ConvNeXt-V2,328,283,22,5,18,0.8628048780487805,0.06707317073170732,0.01524390243902439,0.054878048780487805,0.08231707317073171
eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,ConvNeXt-V2,328,283,22,5,18,0.8628048780487805,0.06707317073170732,0.01524390243902439,0.054878048780487805,0.08231707317073171
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,ConvNeXt-V2,328,283,22,5,18,0.8628048780487805,0.06707317073170732,0.01524390243902439,0.054878048780487805,0.08231707317073171
eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,ConvNeXt-V2,328,283,22,5,18,0.8628048780487805,0.06707317073170732,0.01524390243902439,0.054878048780487805,0.08231707317073171
eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,DINOv2-Base,328,281,24,3,20,0.8567073170731707,0.07317073170731707,0.009146341463414634,0.06097560975609756,0.08231707317073171
eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,MegaDescriptor-L,328,279,26,1,22,0.850609756097561,0.07926829268292683,0.003048780487804878,0.06707317073170732,0.08231707317073171
eva_convnext_megadescriptor_weighted_globalminmax_sq,valonly_gallery,EVA-02,MegaDescriptor-L,309,176,61,21,51,0.56957928802589,0.19741100323624594,0.06796116504854369,0.1650485436893204,0.26537216828478966
eva_miew_megadescriptor_evaheavy_globalminmax_sq,valonly_gallery,EVA-02,MegaDescriptor-L,309,176,61,21,51,0.56957928802589,0.19741100323624594,0.06796116504854369,0.1650485436893204,0.26537216828478966
eva_miew_efficientnet_weighted_globalminmax_sq,valonly_gallery,EVA-02,EfficientNet-B4,309,179,58,19,53,0.5792880258899676,0.18770226537216828,0.061488673139158574,0.1715210355987055,0.24919093851132687
eva_convnext_megadescriptor_weighted_globalminmax_sq,valonly_gallery,ConvNeXt-V2,MegaDescriptor-L,309,184,58,13,54,0.5954692556634305,0.18770226537216828,0.042071197411003236,0.17475728155339806,0.2297734627831715
eva_convnext_megadescriptor_weighted_globalminmax_sq,valonly_gallery,EVA-02,ConvNeXt-V2,309,206,31,36,36,0.6666666666666666,0.10032362459546926,0.11650485436893204,0.11650485436893204,0.2168284789644013
eva_mega_convnext_evaheavy_globalminmax_sq,valonly_gallery,EVA-02,ConvNeXt-V2,309,206,31,36,36,0.6666666666666666,0.10032362459546926,0.11650485436893204,0.11650485436893204,0.2168284789644013
eva_miew_convnext_equal_globalminmax_sq,valonly_gallery,EVA-02,ConvNeXt-V2,309,206,31,36,36,0.6666666666666666,0.10032362459546926,0.11650485436893204,0.11650485436893204,0.2168284789644013
eva_miew_convnext_equal_rowminmax_sq,valonly_gallery,EVA-02,ConvNeXt-V2,309,206,31,36,36,0.6666666666666666,0.10032362459546926,0.11650485436893204,0.11650485436893204,0.2168284789644013
eva_miew_convnext_miewheavy_globalminmax_sq,valonly_gallery,EVA-02,ConvNeXt-V2,309,206,31,36,36,0.6666666666666666,0.10032362459546926,0.11650485436893204,0.11650485436893204,0.2168284789644013
eva_miew_convnext_weighted_globalminmax_sq,valonly_gallery,EVA-02,ConvNeXt-V2,309,206,31,36,36,0.6666666666666666,0.10032362459546926,0.11650485436893204,0.11650485436893204,0.2168284789644013
eva_miew_efficientnet_weighted_globalminmax_sq,valonly_gallery,MiewID,EfficientNet-B4,309,191,60,7,51,0.6181229773462783,0.1941747572815534,0.022653721682847898,0.1650485436893204,0.2168284789644013
eva_miew_megadescriptor_evaheavy_globalminmax_sq,valonly_gallery,MiewID,MegaDescriptor-L,309,191,60,6,52,0.6181229773462783,0.1941747572815534,0.019417475728155338,0.16828478964401294,0.21359223300970873
eva_mega_convnext_evaheavy_globalminmax_sq,valonly_gallery,EVA-02,MiewID,309,213,24,38,34,0.6893203883495146,0.07766990291262135,0.12297734627831715,0.11003236245954692,0.20064724919093851
eva_miew_convnext_equal_globalminmax_sq,valonly_gallery,EVA-02,MiewID,309,213,24,38,34,0.6893203883495146,0.07766990291262135,0.12297734627831715,0.11003236245954692,0.20064724919093851
eva_miew_convnext_equal_rowminmax_sq,valonly_gallery,EVA-02,MiewID,309,213,24,38,34,0.6893203883495146,0.07766990291262135,0.12297734627831715,0.11003236245954692,0.20064724919093851
eva_miew_convnext_miewheavy_globalminmax_sq,valonly_gallery,EVA-02,MiewID,309,213,24,38,34,0.6893203883495146,0.07766990291262135,0.12297734627831715,0.11003236245954692,0.20064724919093851
eva_miew_convnext_weighted_globalminmax_sq,valonly_gallery,EVA-02,MiewID,309,213,24,38,34,0.6893203883495146,0.07766990291262135,0.12297734627831715,0.11003236245954692,0.20064724919093851
eva_miew_dinosmall_weighted_globalminmax_sq,valonly_gallery,EVA-02,MiewID,309,213,24,38,34,0.6893203883495146,0.07766990291262135,0.12297734627831715,0.11003236245954692,0.20064724919093851
eva_miew_dinov2base_equal_globalminmax_sq,valonly_gallery,EVA-02,MiewID,309,213,24,38,34,0.6893203883495146,0.07766990291262135,0.12297734627831715,0.11003236245954692,0.20064724919093851
eva_miew_efficientnet_weighted_globalminmax_sq,valonly_gallery,EVA-02,MiewID,309,213,24,38,34,0.6893203883495146,0.07766990291262135,0.12297734627831715,0.11003236245954692,0.20064724919093851
eva_miew_megadescriptor_evaheavy_globalminmax_sq,valonly_gallery,EVA-02,MiewID,309,213,24,38,34,0.6893203883495146,0.07766990291262135,0.12297734627831715,0.11003236245954692,0.20064724919093851
eva_miew_dinov2base_equal_globalminmax_sq,valonly_gallery,MiewID,DINOv2-Base,309,200,51,7,51,0.6472491909385113,0.1650485436893204,0.022653721682847898,0.1650485436893204,0.18770226537216828
eva_miew_dinosmall_weighted_globalminmax_sq,valonly_gallery,EVA-02,DINO-Small,309,211,26,30,42,0.6828478964401294,0.08414239482200647,0.0970873786407767,0.13592233009708737,0.18122977346278318
eva_miew_dinosmall_weighted_globalminmax_sq,valonly_gallery,MiewID,DINO-Small,309,218,33,23,35,0.7055016181229773,0.10679611650485436,0.0744336569579288,0.11326860841423948,0.18122977346278318
eva_miew_dinov2base_equal_globalminmax_sq,valonly_gallery,EVA-02,DINOv2-Base,309,194,43,13,59,0.627831715210356,0.13915857605177995,0.042071197411003236,0.19093851132686085,0.18122977346278318
eva_mega_convnext_evaheavy_globalminmax_sq,valonly_gallery,MiewID,ConvNeXt-V2,309,219,32,23,35,0.7087378640776699,0.10355987055016182,0.0744336569579288,0.11326860841423948,0.1779935275080906
eva_miew_convnext_equal_globalminmax_sq,valonly_gallery,MiewID,ConvNeXt-V2,309,219,32,23,35,0.7087378640776699,0.10355987055016182,0.0744336569579288,0.11326860841423948,0.1779935275080906
eva_miew_convnext_equal_rowminmax_sq,valonly_gallery,MiewID,ConvNeXt-V2,309,219,32,23,35,0.7087378640776699,0.10355987055016182,0.0744336569579288,0.11326860841423948,0.1779935275080906
eva_miew_convnext_miewheavy_globalminmax_sq,valonly_gallery,MiewID,ConvNeXt-V2,309,219,32,23,35,0.7087378640776699,0.10355987055016182,0.0744336569579288,0.11326860841423948,0.1779935275080906
eva_miew_convnext_weighted_globalminmax_sq,valonly_gallery,MiewID,ConvNeXt-V2,309,219,32,23,35,0.7087378640776699,0.10355987055016182,0.0744336569579288,0.11326860841423948,0.1779935275080906
