query_label,queries,best_single_ap_mean,best_fusion_ap_mean,best_single_rank1_mean,best_fusion_rank1_mean,delta_ap,delta_rank1,run_name,gallery_protocol,best_single_name,best_fusion_name
Overa,8,0.4266450163313025,0.7502403738686105,1.0,1.0,0.32359535753730806,0.0,eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Bernard,4,0.12750137098632128,0.41643820370731344,0.75,0.75,0.28893683272099213,0.0,eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Saseka,21,0.3652523803023997,0.6422880959136864,0.9523809523809523,0.9523809523809523,0.2770357156112867,0.0,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Overa,8,0.4266450163313025,0.7014696769676496,1.0,1.0,0.27482466063634714,0.0,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Overa,8,0.4266450163313025,0.7014696769676496,1.0,1.0,0.27482466063634714,0.0,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Guaraci,2,0.29135509777483504,0.5545694537255946,0.0,0.5,0.2632143559507596,0.5,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Guaraci,2,0.29135509777483504,0.5545694537255946,0.0,0.5,0.2632143559507596,0.5,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Jaju,21,0.561970288276139,0.8216758014687455,0.8571428571428571,0.9047619047619048,0.2597055131926065,0.04761904761904767,eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Jaju,21,0.561970288276139,0.8199335753621639,0.8571428571428571,0.8571428571428571,0.2579632870860249,0.0,eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Saseka,21,0.3652521628423117,0.6212756107167604,0.9523809523809523,0.9523809523809523,0.2560234478744487,0.0,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Saseka,21,0.3652521628423117,0.6212756107167604,0.9523809523809523,0.9523809523809523,0.2560234478744487,0.0,eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,EVA-02,score_fusion
Jaju,21,0.561970288276139,0.8178886362216647,0.8571428571428571,0.8571428571428571,0.2559183479455257,0.0,eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Overa,8,0.4266450163313025,0.6781022328419419,1.0,1.0,0.25145721651063946,0.0,eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Jaju,21,0.561970288276139,0.8134268595310429,0.8571428571428571,0.8571428571428571,0.25145657125490384,0.0,eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Guaraci,2,0.29135509777483504,0.5416913019685223,0.0,0.5,0.2503362041936873,0.5,eva_mega_convnext_evaheavy_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
Jaju,21,0.561970288276139,0.8098664904004513,0.8571428571428571,0.8571428571428571,0.2478962021243123,0.0,eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,EVA-02,embedding_concat
Pyte,2,0.754944815451943,1.0,1.0,1.0,0.24505518454805697,0.0,eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,EVA-02,score_fusion
